CUB,Cuba,Caribbean,BHS,The Bahamas,Caribbean
CUB,Cuba,Caribbean,CYI,Cayman Islands,Caribbean
HDF,Hauts-de-France,Western Europe,SEE,South East England,Northern Europe
AK,Alaska,Western United States,FER,Far Eastern Russia,North Asia
AK,Alaska,Western United States,HI,Hawaii,Western United States
KYS,Kyushu,East Asia,RYK,Ryukyu,East Asia
KYS,Kyushu,East Asia,SGS,South Gyeongsang,East Asia
RYK,Ryukyu,East Asia,TWN,Northern Taiwan,East Asia
TWN,Northern Taiwan,East Asia,TWS,Southern Taiwan,East Asia
TWS,Southern Taiwan,East Asia,FUJ,Fujian,East Asia
TWS,Southern Taiwan,East Asia,NLZ,Northern Luzon,Southeast Asia
GND,Guangdong,East Asia,HIN,Hainan,East Asia
BRN,Brunei,Southeast Asia,SMY,Sabah & Sarawak,Southeast Asia
KII,East Kalimantan,Southeast Asia,SMY,Sabah & Sarawak,Southeast Asia
KUI,North Kalimantan,Southeast Asia,SMY,Sabah & Sarawak,Southeast Asia
KBI,West Kalimantan,Southeast Asia,SMY,Sabah & Sarawak,Southeast Asia
WMY,West Malaya,Southeast Asia,EMY,East Malaya,Southeast Asia
EMY,East Malaya,Southeast Asia,THS,Southern Thailand,Southeast Asia
SMY,Sabah & Sarawak,Southeast Asia,BRN,Brunei,Southeast Asia
QLD,Queensland,Australia and New Zealand,NSW,New South Wales,Australia and New Zealand
QLD,Queensland,Australia and New Zealand,NTA,Northern Territory,Australia and New Zealand
QLD,Queensland,Australia and New Zealand,SAU,South Australia,Australia and New Zealand
NSW,New South Wales,Australia and New Zealand,SAU,South Australia,Australia and New Zealand
NSW,New South Wales,Australia and New Zealand,ACT,Australian Capital Territory,Australia and New Zealand
NSW,New South Wales,Australia and New Zealand,VIC,Victoria,Australia and New Zealand
SAU,South Australia,Australia and New Zealand,NTA,Northern Territory,Australia and New Zealand
SAU,South Australia,Australia and New Zealand,WAU,Western Australia,Australia and New Zealand
SAU,South Australia,Australia and New Zealand,VIC,Victoria,Australia and New Zealand
NTA,Northern Territory,Australia and New Zealand,WAU,Western Australia,Australia and New Zealand
PLW,Palau,Oceania,FSM,Federated States of Micronesia,Oceania
FSM,Federated States of Micronesia,Oceania,GUM,Guam,Oceania
FSM,Federated States of Micronesia,Oceania,MHL,Marshall Islands,Oceania
FSM,Federated States of Micronesia,Oceania,PNG,Papua New Guinea,Oceania
GUM,Guam,Oceania,NMI,Northern Mariana Islands,Oceania
NMI,Northern Mariana Islands,Oceania,KNT,Kanto,East Asia
MHL,Marshall Islands,Oceania,KIR,Kiribati,Oceania
MHL,Marshall Islands,Oceania,UMI,United States Minor Outlying Islands,Oceania
UMI,United States Minor Outlying Islands,Oceania,HI,Hawaii,Western United States
UMI,United States Minor Outlying Islands,Oceania,KIR,Kiribati,Oceania
SLB,Solomon Islands,Oceania,NCL,New Caledonia,Oceania
SLB,Solomon Islands,Oceania,VUT,Vanuatu,Oceania
FJI,Fiji,Oceania,NCL,New Caledonia,Oceania
FJI,Fiji,Oceania,VUT,Vanuatu,Oceania
VUT,Vanuatu,Oceania,NCL,New Caledonia,Oceania
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
AB,Alberta,Canada,SK,Saskatchewan,Canada
AB,Alberta,Canada,BC,British Columbia,Canada
AB,Alberta,Canada,NWT,Northwest Territories,Canada
AB,Alberta,Canada,MT,Montana,Western United States
BC,British Columbia,Canada,AK,Alaska,Western United States
BC,British Columbia,Canada,NWT,Northwest Territories,Canada
BC,British Columbia,Canada,WA,Washington,Western United States
BC,British Columbia,Canada,YT,Yukon,Canada
BC,British Columbia,Canada,ID,Idaho,Western United States
BC,British Columbia,Canada,MT,Montana,Western United States
MB,Manitoba,Canada,SK,Saskatchewan,Canada
MB,Manitoba,Canada,ON,Ontario,Canada
MB,Manitoba,Canada,NU,Nunavut,Canada
MB,Manitoba,Canada,MN,Minnesota,Midwestern United States
MB,Manitoba,Canada,ND,North Dakota,Midwestern United States
MB,Manitoba,Canada,NWT,Northwest Territories,Canada
NB,New Brunswick,Canada,QC,Québec,Canada
NB,New Brunswick,Canada,ME,Maine,Northeastern United States
NB,New Brunswick,Canada,NS,Nova Scotia,Canada
NL,Newfoundland and Labrador,Canada,QC,Québec,Canada
NL,Newfoundland and Labrador,Canada,SPM,Saint Pierre and Miquelon,Western Europe
NWT,Northwest Territories,Canada,NU,Nunavut,Canada
NWT,Northwest Territories,Canada,YT,Yukon,Canada
NWT,Northwest Territories,Canada,SK,Saskatchewan,Canada
ON,Ontario,Canada,QC,Québec,Canada
ON,Ontario,Canada,MI,Michigan,Midwestern United States
ON,Ontario,Canada,NY,New York,Northeastern United States
ON,Ontario,Canada,MN,Minnesota,Midwestern United States
QC,Québec,Canada,VT,Vermont,Northeastern United States
QC,Québec,Canada,NH,New Hampshire,Northeastern United States
QC,Québec,Canada,ME,Maine,Northeastern United States
QC,Québec,Canada,NY,New York,Northeastern United States
SK,Saskatchewan,Canada,MT,Montana,Western United States
SK,Saskatchewan,Canada,ND,North Dakota,Midwestern United States
YT,Yukon,Canada,AK,Alaska,Western United States
CT,Connecticut,Northeastern United States,NY,New York,Northeastern United States
CT,Connecticut,Northeastern United States,MA,Massachusetts,Northeastern United States
CT,Connecticut,Northeastern United States,RI,Rhode Island,Northeastern United States
ME,Maine,Northeastern United States,NH,New Hampshire,Northeastern United States
MA,Massachusetts,Northeastern United States,NH,New Hampshire,Northeastern United States
MA,Massachusetts,Northeastern United States,VT,Vermont,Northeastern United States
MA,Massachusetts,Northeastern United States,NY,New York,Northeastern United States
MA,Massachusetts,Northeastern United States,RI,Rhode Island,Northeastern United States
NH,New Hampshire,Northeastern United States,VT,Vermont,Northeastern United States
NJ,New Jersey,Northeastern United States,DE,Delaware,Southern United States
NJ,New Jersey,Northeastern United States,PA,Pennsylvania,Northeastern United States
NJ,New Jersey,Northeastern United States,NY,New York,Northeastern United States
NY,New York,Northeastern United States,PA,Pennsylvania,Northeastern United States
NY,New York,Northeastern United States,VT,Vermont,Northeastern United States
PA,Pennsylvania,Northeastern United States,OH,Ohio,Midwestern United States
PA,Pennsylvania,Northeastern United States,MD,Maryland,Southern United States
PA,Pennsylvania,Northeastern United States,WV,West Virginia,Southern United States
PA,Pennsylvania,Northeastern United States,DE,Delaware,Southern United States
IL,Illinois,Midwestern United States,IN,Indiana,Midwestern United States
IL,Illinois,Midwestern United States,MO,Missouri,Midwestern United States
IL,Illinois,Midwestern United States,KY,Kentucky,Southern United States
IL,Illinois,Midwestern United States,IA,Iowa,Midwestern United States
IL,Illinois,Midwestern United States,WI,Wisconsin,Midwestern United States
IN,Indiana,Midwestern United States,KY,Kentucky,Southern United States
IN,Indiana,Midwestern United States,OH,Ohio,Midwestern United States
IN,Indiana,Midwestern United States,MI,Michigan,Midwestern United States
IA,Iowa,Midwestern United States,MO,Missouri,Midwestern United States
IA,Iowa,Midwestern United States,NE,Nebraska,Midwestern United States
IA,Iowa,Midwestern United States,SD,South Dakota,Midwestern United States
IA,Iowa,Midwestern United States,WI,Wisconsin,Midwestern United States
IA,Iowa,Midwestern United States,MN,Minnesota,Midwestern United States
KS,Kansas,Midwestern United States,OK,Oklahoma,Southern United States
KS,Kansas,Midwestern United States,NE,Nebraska,Midwestern United States
KS,Kansas,Midwestern United States,MO,Missouri,Midwestern United States
KS,Kansas,Midwestern United States,CO,Colorado,Western United States
MI,Michigan,Midwestern United States,WI,Wisconsin,Midwestern United States
MI,Michigan,Midwestern United States,OH,Ohio,Midwestern United States
MN,Minnesota,Midwestern United States,ND,North Dakota,Midwestern United States
MN,Minnesota,Midwestern United States,WI,Wisconsin,Midwestern United States
MN,Minnesota,Midwestern United States,SD,South Dakota,Midwestern United States
MO,Missouri,Midwestern United States,NE,Nebraska,Midwestern United States
MO,Missouri,Midwestern United States,KY,Kentucky,Southern United States
MO,Missouri,Midwestern United States,AR,Arkansas,Southern United States
MO,Missouri,Midwestern United States,TN,Tennessee,Southern United States
MO,Missouri,Midwestern United States,OK,Oklahoma,Southern United States
NE,Nebraska,Midwestern United States,SD,South Dakota,Midwestern United States
NE,Nebraska,Midwestern United States,WY,Wyoming,Western United States
NE,Nebraska,Midwestern United States,CO,Colorado,Western United States
ND,North Dakota,Midwestern United States,MT,Montana,Western United States
ND,North Dakota,Midwestern United States,SD,South Dakota,Midwestern United States
OH,Ohio,Midwestern United States,WV,West Virginia,Southern United States
OH,Ohio,Midwestern United States,KY,Kentucky,Southern United States
SD,South Dakota,Midwestern United States,WY,Wyoming,Western United States
SD,South Dakota,Midwestern United States,MT,Montana,Western United States
AZ,Arizona,Western United States,CA,California,Western United States
AZ,Arizona,Western United States,NM,New Mexico,Western United States
AZ,Arizona,Western United States,UT,Utah,Western United States
AZ,Arizona,Western United States,GLJ,Guadalajara,Mexico
AZ,Arizona,Western United States,NV,Nevada,Western United States
CA,California,Western United States,GLJ,Guadalajara,Mexico
CA,California,Western United States,NV,Nevada,Western United States
CA,California,Western United States,OR,Oregon,Western United States
CO,Colorado,Western United States,NM,New Mexico,Western United States
CO,Colorado,Western United States,UT,Utah,Western United States
CO,Colorado,Western United States,WY,Wyoming,Western United States
CO,Colorado,Western United States,OK,Oklahoma,Southern United States
ID,Idaho,Western United States,WA,Washington,Western United States
ID,Idaho,Western United States,MT,Montana,Western United States
ID,Idaho,Western United States,OR,Oregon,Western United States
ID,Idaho,Western United States,WY,Wyoming,Western United States
ID,Idaho,Western United States,NV,Nevada,Western United States
ID,Idaho,Western United States,UT,Utah,Western United States
MT,Montana,Western United States,WY,Wyoming,Western United States
NV,Nevada,Western United States,UT,Utah,Western United States
NV,Nevada,Western United States,OR,Oregon,Western United States
NM,New Mexico,Western United States,TX,Texas,Southern United States
NM,New Mexico,Western United States,GLJ,Guadalajara,Mexico
NM,New Mexico,Western United States,UT,Utah,Western United States
NM,New Mexico,Western United States,OK,Oklahoma,Southern United States
OR,Oregon,Western United States,WA,Washington,Western United States
UT,Utah,Western United States,WY,Wyoming,Western United States
AL,Alabama,Southern United States,GA,Georgia,Southern United States
AL,Alabama,Southern United States,TN,Tennessee,Southern United States
AL,Alabama,Southern United States,MS,Mississippi,Southern United States
AL,Alabama,Southern United States,FL,Florida,Southern United States
AR,Arkansas,Southern United States,MS,Mississippi,Southern United States
AR,Arkansas,Southern United States,TX,Texas,Southern United States
AR,Arkansas,Southern United States,OK,Oklahoma,Southern United States
AR,Arkansas,Southern United States,LA,Louisiana,Southern United States
AR,Arkansas,Southern United States,TN,Tennessee,Southern United States
DE,Delaware,Southern United States,MD,Maryland,Southern United States
DC,District of Columbia,Southern United States,VA,Virginia,Southern United States
DC,District of Columbia,Southern United States,MD,Maryland,Southern United States
FL,Florida,Southern United States,GA,Georgia,Southern United States
GA,Georgia,Southern United States,SC,South Carolina,Southern United States
GA,Georgia,Southern United States,NC,North Carolina,Southern United States
GA,Georgia,Southern United States,TN,Tennessee,Southern United States
KY,Kentucky,Southern United States,WV,West Virginia,Southern United States
KY,Kentucky,Southern United States,TN,Tennessee,Southern United States
KY,Kentucky,Southern United States,VA,Virginia,Southern United States
LA,Louisiana,Southern United States,TX,Texas,Southern United States
LA,Louisiana,Southern United States,MS,Mississippi,Southern United States
MD,Maryland,Southern United States,WV,West Virginia,Southern United States
MD,Maryland,Southern United States,VA,Virginia,Southern United States
MS,Mississippi,Southern United States,TN,Tennessee,Southern United States
NC,North Carolina,Southern United States,TN,Tennessee,Southern United States
NC,North Carolina,Southern United States,SC,South Carolina,Southern United States
NC,North Carolina,Southern United States,VA,Virginia,Southern United States
NC,North Carolina,Southern United States,BMU,Bermuda,Caribbean
OK,Oklahoma,Southern United States,TX,Texas,Southern United States
TN,Tennessee,Southern United States,VA,Virginia,Southern United States
TX,Texas,Southern United States,MR,Monterrey,Mexico
TX,Texas,Southern United States,GLJ,Guadalajara,Mexico
VA,Virginia,Southern United States,WV,West Virginia,Southern United States
DOM,Dominican Republic,Caribbean,HAI,Haiti,Caribbean
BVI,British Virgin Islands,Caribbean,UVI,U.S. Virgin Islands,Caribbean
MEX,Estado de México,Mexico,GLJ,Guadalajara,Mexico
MEX,Estado de México,Mexico,MXC,Mexico City,Mexico
MEX,Estado de México,Mexico,MR,Monterrey,Mexico
MEX,Estado de México,Mexico,XA,Xalapa (XA),Mexico
GLJ,Guadalajara,Mexico,MR,Monterrey,Mexico
MXC,Mexico City,Mexico,XA,Xalapa (XA),Mexico
MR,Monterrey,Mexico,XA,Xalapa (XA),Mexico
XA,Xalapa (XA),Mexico,GUA,Guatemala,Central America
XA,Xalapa (XA),Mexico,BIZ,Belize,Central America
BIZ,Belize,Central America,GUA,Guatemala,Central America
CRC,Costa Rica,Central America,PAN,Panama,Central America
CRC,Costa Rica,Central America,NCA,Nicaragua,Central America
SLV,El Salvador,Central America,GUA,Guatemala,Central America
SLV,El Salvador,Central America,HON,Honduras,Central America
GUA,Guatemala,Central America,HON,Honduras,Central America
HON,Honduras,Central America,NCA,Nicaragua,Central America
PAN,Panama,Central America,RPC,Región del Pacífico,North South America
RAD,Región Andina,North South America,RPC,Región del Pacífico,North South America
RAD,Región Andina,North South America,VNC,Venezuela Occidental,North South America
RPC,Región del Pacífico,North South America,ECC,Coastal Ecuador,North South America
ECC,Coastal Ecuador,North South America,CPR,Coastal Peru,West-Center South America
VNC,Venezuela Occidental,North South America,VNO,Venezuela Oriente,North South America
BOC,Bolivia Occidental,West-Center South America,CLN,Northern Chile,South South America
BOC,Bolivia Occidental,West-Center South America,PRY,Paraguay,West-Center South America
BOC,Bolivia Occidental,West-Center South America,SPR,South Peru,West-Center South America
PRY,Paraguay,West-Center South America,BPR,Paraná,Brazil
CPR,Coastal Peru,West-Center South America,SPR,South Peru,West-Center South America
SPR,South Peru,West-Center South America,CLN,Northern Chile,South South America
BMG,Minas Gerais,Brazil,BSP,São Paulo,Brazil
BPR,Paraná,Brazil,BSP,São Paulo,Brazil
BPR,Paraná,Brazil,BSC,Santa Catarina,Brazil
PTA,Patagonia,South South America,CLS,Southern Chile,South South America
CLM,Metropolitan Chile,South South America,CLS,Southern Chile,South South America
CLM,Metropolitan Chile,South South America,CLN,Northern Chile,South South America
CLN,Northern Chile,South South America,CLS,Southern Chile,South South America
DEN,Denmark,Northern Europe,SH,Schleswig-Holstein,Western Europe
EST,Estonia,Northern Europe,NWR,Northwestern Russia,Eastern Europe
EST,Estonia,Northern Europe,LAT,Latvia,Northern Europe
FIN,Finland,Northern Europe,NWR,Northwestern Russia,Eastern Europe
FIN,Finland,Northern Europe,NOR,Norway,Northern Europe
FIN,Finland,Northern Europe,NRL,Norrland,Northern Europe
AX,Aland Islands,Northern Europe,FIN,Finland,Northern Europe
AX,Aland Islands,Northern Europe,SVE,Svealand,Northern Europe
IRE,Ireland,Northern Europe,NIR,Northern Ireland,Northern Europe
LAT,Latvia,Northern Europe,BLR,Belarus,Eastern Europe
LAT,Latvia,Northern Europe,LIT,Lithuania,Northern Europe
LAT,Latvia,Northern Europe,NWR,Northwestern Russia,Eastern Europe
LIT,Lithuania,Northern Europe,POM,Pomerania,Eastern Europe
LIT,Lithuania,Northern Europe,BLR,Belarus,Eastern Europe
LIT,Lithuania,Northern Europe,WAR,Warsaw,Eastern Europe
NOR,Norway,Northern Europe,NRL,Norrland,Northern Europe
NOR,Norway,Northern Europe,GOT,Götaland,Northern Europe
NOR,Norway,Northern Europe,SVE,Svealand,Northern Europe
NOR,Norway,Northern Europe,NWR,Northwestern Russia,Eastern Europe
GOT,Götaland,Northern Europe,SVE,Svealand,Northern Europe
NRL,Norrland,Northern Europe,SVE,Svealand,Northern Europe
EML,East Midlands,Northern Europe,SEE,South East England,Northern Europe
EML,East Midlands,Northern Europe,YSH,Yorkshire and the Humber,Northern Europe
EML,East Midlands,Northern Europe,WML,West Midlands,Northern Europe
EML,East Midlands,Northern Europe,EAE,East of England,Northern Europe
EML,East Midlands,Northern Europe,NWE,North West England,Northern Europe
EAE,East of England,Northern Europe,LON,Greater London,Northern Europe
EAE,East of England,Northern Europe,SEE,South East England,Northern Europe
LON,Greater London,Northern Europe,SEE,South East England,Northern Europe
NWE,North West England,Northern Europe,YSH,Yorkshire and the Humber,Northern Europe
NWE,North West England,Northern Europe,WML,West Midlands,Northern Europe
NWE,North West England,Northern Europe,CYM,Wales,Northern Europe
NWE,North West England,Northern Europe,SCT,Scotland,Northern Europe
SEE,South East England,Northern Europe,SWE,South West England,Northern Europe
SEE,South East England,Northern Europe,WML,West Midlands,Northern Europe
SWE,South West England,Northern Europe,WML,West Midlands,Northern Europe
SWE,South West England,Northern Europe,CYM,Wales,Northern Europe
CYM,Wales,Northern Europe,WML,West Midlands,Northern Europe
AUT,Austria,Western Europe,SVN,Slovenia,Southern Europe
AUT,Austria,Western Europe,CZE,Czechia,Eastern Europe
AUT,Austria,Western Europe,BY,Bavaria,Western Europe
AUT,Austria,Western Europe,NEI,Northeast Italy,Southern Europe
AUT,Austria,Western Europe,HUN,Hungary,Eastern Europe
AUT,Austria,Western Europe,SVK,Slovakia,Eastern Europe
AUT,Austria,Western Europe,CHE,Switzerland,Western Europe
AUT,Austria,Western Europe,LIE,Liechtenstein,Western Europe
AUT,Austria,Western Europe,BDW,Baden-Württemberg,Western Europe
FLA,Flanders,Western Europe,SNL,South Netherlands,Western Europe
FLA,Flanders,Western Europe,WNL,West Netherlands,Western Europe
FLA,Flanders,Western Europe,WAL,Wallonia,Western Europe
FLA,Flanders,Western Europe,HDF,Hauts-de-France,Western Europe
WAL,Wallonia,Western Europe,NRW,North Rhine-Westphalia,Western Europe
WAL,Wallonia,Western Europe,GES,Grand Est,Western Europe
WAL,Wallonia,Western Europe,LUX,Luxembourg,Western Europe
WAL,Wallonia,Western Europe,SNL,South Netherlands,Western Europe
WAL,Wallonia,Western Europe,HDF,Hauts-de-France,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,NWI,Northwest Italy,Southern Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,OCC,Occitanie,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,PAC,Provence-Alpes-Côte d'Azur,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,NAQ,Nouvelle-Aquitaine,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,CVL,Centre-Val de Loire,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,BFC,Bourgogne Franche-Comté,Western Europe
ARA,Auvergne-Rhône-Alpes,Western Europe,CHE,Switzerland,Western Europe
BFC,Bourgogne Franche-Comté,Western Europe,GES,Grand Est,Western Europe
BFC,Bourgogne Franche-Comté,Western Europe,CVL,Centre-Val de Loire,Western Europe
BFC,Bourgogne Franche-Comté,Western Europe,CHE,Switzerland,Western Europe
BFC,Bourgogne Franche-Comté,Western Europe,IDF,Île-de-France,Western Europe
BRE,Brittany,Western Europe,PDL,Pays de la Loire,Western Europe
BRE,Brittany,Western Europe,NMD,Normandy,Western Europe
CVL,Centre-Val de Loire,Western Europe,NAQ,Nouvelle-Aquitaine,Western Europe
CVL,Centre-Val de Loire,Western Europe,PDL,Pays de la Loire,Western Europe
CVL,Centre-Val de Loire,Western Europe,NMD,Normandy,Western Europe
CVL,Centre-Val de Loire,Western Europe,IDF,Île-de-France,Western Europe
GES,Grand Est,Western Europe,IDF,Île-de-France,Western Europe
GES,Grand Est,Western Europe,CHE,Switzerland,Western Europe
GES,Grand Est,Western Europe,SL,Saarland,Western Europe
GES,Grand Est,Western Europe,BDW,Baden-Württemberg,Western Europe
GES,Grand Est,Western Europe,HDF,Hauts-de-France,Western Europe
GES,Grand Est,Western Europe,LUX,Luxembourg,Western Europe
HDF,Hauts-de-France,Western Europe,IDF,Île-de-France,Western Europe
HDF,Hauts-de-France,Western Europe,NMD,Normandy,Western Europe
IDF,Île-de-France,Western Europe,NMD,Normandy,Western Europe
NMD,Normandy,Western Europe,PDL,Pays de la Loire,Western Europe
NAQ,Nouvelle-Aquitaine,Western Europe,PDL,Pays de la Loire,Western Europe
NAQ,Nouvelle-Aquitaine,Western Europe,OCC,Occitanie,Western Europe
NAQ,Nouvelle-Aquitaine,Western Europe,NES,North East Spain,Southern Europe
OCC,Occitanie,Western Europe,ESS,East Spain,Southern Europe
OCC,Occitanie,Western Europe,NES,North East Spain,Southern Europe
OCC,Occitanie,Western Europe,PAC,Provence-Alpes-Côte d'Azur,Western Europe
PAC,Provence-Alpes-Côte d'Azur,Western Europe,NWI,Northwest Italy,Southern Europe
BDW,Baden-Württemberg,Western Europe,BY,Bavaria,Western Europe
BDW,Baden-Württemberg,Western Europe,CHE,Switzerland,Western Europe
BDW,Baden-Württemberg,Western Europe,HE,Hesse,Western Europe
BY,Bavaria,Western Europe,CZE,Czechia,Eastern Europe
BY,Bavaria,Western Europe,HE,Hesse,Western Europe
BY,Bavaria,Western Europe,TH,Thuringia,Western Europe
BY,Bavaria,Western Europe,SN,Saxony,Western Europe
BE,Berlin (BE),Western Europe,BB,Brandenburg,Western Europe
BB,Brandenburg,Western Europe,POM,Pomerania,Eastern Europe
BB,Brandenburg,Western Europe,SN,Saxony,Western Europe
BB,Brandenburg,Western Europe,NI,Lower Saxony,Western Europe
HH,Hamburg (HH),Western Europe,NI,Lower Saxony,Western Europe
HH,Hamburg (HH),Western Europe,SH,Schleswig-Holstein,Western Europe
HE,Hesse,Western Europe,TH,Thuringia,Western Europe
HE,Hesse,Western Europe,NRW,North Rhine-Westphalia,Western Europe
HE,Hesse,Western Europe,NI,Lower Saxony,Western Europe
NI,Lower Saxony,Western Europe,NRW,North Rhine-Westphalia,Western Europe
NI,Lower Saxony,Western Europe,ENL,East Netherlands,Western Europe
